study,sound,condition,total_eye_contact_time,total_shared_focus,focus_instances,eye_contact_instances,individual_rotation_parent_time,individual_rotation_parent_count
1,0,1,0,150.3,15,0,10.6,12
1,0,2,0,33,12,0,16.3,10
1,0,3,5.8,66.1,8,1,26,9
2,1,1,0,72.8,13,0,6,6
2,1,2,3.3,54.3,11,1,19.8,15
2,1,3,0,34.2,10,0,4.8,2
3,0,1,0,43,15,0,6.7,1
3,0,2,0,73.6,18,0,1.3,3
3,0,3,0,33,22,0,8.1,1
4,1,1,5.4,48.6,16,1,10.3,6
4,1,2,6.4,117,27,1,30.1,20
4,1,3,0,72.1,9,0,16,10
5,0,1,0,48,15,0,10.6,7
5,0,2,0,61.7,19,0,19,15
5,0,3,11.4,50.8,10,1,16.7,14
6,1,1,0,36.4,8,0,3.9,3
6,1,2,0,47.8,5,0,2.8,1
6,1,3,0,79.1,13,0,23.9,13
7,0,1,0,111,17,0,36.1,12
7,0,2,0,14.1,4,0,0.9,2
7,0,3,24.1,73.1,19,2,64.4,29
8,1,1,11.7,75.2,10,1,50.3,21
8,1,2,6.7,69,25,1,14.1,6
8,1,3,4.2,72.6,19,1,13.2,13
9,0,1,0,79.2,21,0,18.9,12
9,0,2,0,207.9,46,0,46,24
9,0,3,0,156.2,12,0,55.3,35
10,1,1,0,83.4,23,0,0.9,2
10,1,2,0,90.5,18,0,14.2,10
10,1,3,0,34.1,15,0,12.1,4
11,0,1,2.7,29.7,10,2,16,15
11,0,2,4.9,69.9,26,1,22,17
11,0,3,0,106.1,30,0,15.9,11
12,1,1,0,15.2,5,0,7.2,2
12,1,2,3,58.9,32,3,21.5,23
12,1,3,2.5,49.7,24,1,12.2,18
13,0,1,0,29.5,10,0,7.8,6
13,0,2,0,45.2,11,0,3.8,9
13,0,3,2.7,69.6,29,2,13.2,21
14,1,1,1.9,76.7,19,1,10.4,7
14,1,2,0,50.6,20,0,10.2,11
14,1,3,0.9,84.9,51,2,5.8,14
15,0,1,0,44.7,17,0,14.5,7
15,0,2,0,108.2,46,0,25.3,10
15,0,3,0,120.1,35,0,20.4,6
16,1,1,0,32.6,11,0,7.6,7
16,1,2,2.2,71.8,30,1,19.5,12
16,1,3,0,70.4,19,0,7.5,8
17,0,1,0,46.6,14,0,24.5,20
17,0,2,0,14.2,7,0,20.9,2
17,0,3,3.3,121.3,41,2,26.4,49
18,1,1,0,62.8,13,0,17.1,10
18,1,2,0,70.9,23,0,12.5,12
18,1,3,0,41.3,16,0,16.1,8
19,0,1,3.8,175,12,1,26.5,29
19,0,2,1.6,120.1,27,1,26.2,17
19,0,3,0,142.6,29,0,12.5,11
20,1,1,0,23.5,10,0,18.7,11
20,1,2,0,53,20,0,5.3,2
20,1,3,0,75.4,21,0,2.5,5
