"Effect","Term","F","Df","Df.res","Pr(>F)","question"
"sound","sound",1.84362134829844,1,38,0.182535672472962,"Q3_1"
"visualization","visualization",0.124189630133189,2,75.9999999999997,0.883391204626506,"Q3_1"
"sound:visualization","sound:visualization",1.81183469976126,2,76,0.170338715537679,"Q3_1"
"sound","sound",2.62087948179479,1,38,0.113737251148014,"Q3_2"
"visualization","visualization",1.26457912896605,2,76,0.288231006114194,"Q3_2"
"sound:visualization","sound:visualization",4.59331670281187,2,76,0.0130858280768451,"Q3_2"
"sound","sound",1.5740038162301,1,38.0000000000001,0.217288516745786,"Q3_3"
"visualization","visualization",2.73954953867298,2,76,0.0709839578518411,"Q3_3"
"sound:visualization","sound:visualization",1.55961517364293,2,76,0.216869490189852,"Q3_3"
"sound","sound",2.32885397911369,1,37.9999999999998,0.135276407858486,"Q3_4"
"visualization","visualization",1.78511975447645,2,75.9999999999997,0.174739554905039,"Q3_4"
"sound:visualization","sound:visualization",2.37302679274688,2,76.0000000000003,0.100070689532304,"Q3_4"
"sound","sound",2.64810026928045,1,38.0000000000003,0.111938611964211,"Q3_5"
"visualization","visualization",1.66402068512321,2,75.9999999999997,0.196200769693785,"Q3_5"
"sound:visualization","sound:visualization",2.77121128674073,2,76.0000000000005,0.0689190575084425,"Q3_5"
"sound","sound",2.66900038461487,1,38,0.110579666927407,"Q3_6"
"visualization","visualization",0.933292286951307,2,76,0.397716605593129,"Q3_6"
"sound:visualization","sound:visualization",1.16604486398301,2,76,0.317108164136004,"Q3_6"
"sound","sound",2.37499003774135,1,38,0.131579551666385,"Q3_7"
"visualization","visualization",1.4523497595627,2,76,0.240440396121662,"Q3_7"
"sound:visualization","sound:visualization",1.73588131247309,2,76,0.18315904878648,"Q3_7"
"sound","sound",3.5322751988771,1,38.0000000000001,0.0678698684276442,"Q3_8"
"visualization","visualization",0.000167377124808019,2,76.0000000000005,0.999832637250518,"Q3_8"
"sound:visualization","sound:visualization",0.303768843087757,2,76,0.738923321193143,"Q3_8"
"sound","sound",3.97078761817429,1,38.0000000000001,0.0535144541045586,"Q3_9"
"visualization","visualization",0.218550070553562,2,75.9999999999997,0.804186561964696,"Q3_9"
"sound:visualization","sound:visualization",0.0178683390082655,2,75.9999999999997,0.982294478504101,"Q3_9"
"sound","sound",0.434573351786447,1,38.0000000000003,0.513728701224407,"Q3_10"
"visualization","visualization",1.73506765386079,2,76.0000000000005,0.183301624244781,"Q3_10"
"sound:visualization","sound:visualization",1.03486647136361,2,76,0.360225243876592,"Q3_10"
"sound","sound",2.0466897113413,1,38.0000000000002,0.160709853715328,"Q3_11"
"visualization","visualization",2.36228146616233,2,76.0000000000003,0.10108805013143,"Q3_11"
"sound:visualization","sound:visualization",4.88420284452151,2,76,0.0101036359933163,"Q3_11"
