"Measurement","Directionality","Visualization","mean","sd"
"Q1","Uni","Ray",57.4285714285714,28.2658299516774
"Q1","Uni","Hover",43.9047619047619,23.0887521575003
"Q1","Bi","Ray",64.5714285714286,26.0779052620632
"Q1","Bi","Hover",54.4761904761905,26.5058843421966
"Q2","Uni","Ray",75.6190476190476,25.743885080687
"Q2","Uni","Hover",57.9523809523809,21.8894408116703
"Q2","Bi","Ray",69.6666666666667,25.0745554962263
"Q2","Bi","Hover",53.9047619047619,25.1433982625753
"Q3","Uni","Ray",76.0952380952381,21.8194976154465
"Q3","Uni","Hover",59.7142857142857,25.4286115569507
"Q3","Bi","Ray",71.4761904761905,25.9896499545859
"Q3","Bi","Hover",56.0952380952381,24.744503959273
"Q4","Uni","Ray",80.7619047619048,19.8138960376418
"Q4","Uni","Hover",67.6666666666667,27.0283801463079
"Q4","Bi","Ray",71.7619047619048,23.3407471215143
"Q4","Bi","Hover",62.7142857142857,27.46296207102
"Q5","Uni","Ray",77,23.9874967430951
"Q5","Uni","Hover",65.6190476190476,27.041590542119
"Q5","Bi","Ray",74.5238095238095,21.9854930525086
"Q5","Bi","Hover",65.6190476190476,22.9618731606901
"Q6","Uni","Ray",74.9523809523809,26.3523740685278
"Q6","Uni","Hover",60.7619047619048,24.9136604333943
"Q6","Bi","Ray",68.5238095238095,27.1599319727039
"Q6","Bi","Hover",56.0476190476191,28.924861608098
"Q7","Uni","Ray",69.8571428571429,24.6622904740937
"Q7","Uni","Hover",62.8571428571429,22.0120097089878
"Q7","Bi","Ray",71.5238095238095,22.153146610852
"Q7","Bi","Hover",55,26.7432234407148
"Q8","Uni","Ray",64.9523809523809,27.3047178899109
"Q8","Uni","Hover",61.2380952380952,24.7626831379492
"Q8","Bi","Ray",71.6666666666667,28.0345025519151
"Q8","Bi","Hover",61.4761904761905,25.2301784528351
"Q9","Uni","Ray",60.6666666666667,25.0964804969409
"Q9","Uni","Hover",61.3809523809524,26.8299761283461
"Q9","Bi","Ray",68.8095238095238,29.1678231063257
"Q9","Bi","Hover",58.7619047619048,22.295525923164
"Q10","Uni","Ray",74.6190476190476,22.8330378847761
"Q10","Uni","Hover",55.6666666666667,25.6229064185415
"Q10","Bi","Ray",67.8571428571429,26.5956494831123
"Q10","Bi","Hover",53.3809523809524,32.8960122058528
"Q11","Uni","Ray",73.0476190476191,25.7768814841443
"Q11","Uni","Hover",57,30.6137224133231
"Q11","Bi","Ray",69.0952380952381,27.6259022692559
"Q11","Bi","Hover",64.7619047619048,30.3955667193503
